Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Butler, Dori Hillestad",King & Kayla and the Case of the Gold Ring (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Butler, Dori Hillestad",King & Kayla and the Case of the Lost Library Book (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Butler, Dori Hillestad",King & Kayla and the Case of the Lost Tooth (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Butler, Dori Hillestad",King & Kayla and the Case of the Missing Dog Treats (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Butler, Dori Hillestad",King & Kayla and the Case of the Mysterious Mouse (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Butler, Dori Hillestad",King & Kayla and the Case of the Secret Code (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Butler, Dori Hillestad",King & Kayla and the Case of the Unhappy Neighbor (King & Kayla Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Byers, Grace",I Am Enough,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Bynum, Betty K.",I'm a Pretty Little Black Girl!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Cabot, Meg",Ready or Not (All-American Girl Series),Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cabrera, Cozbi A.",My Hair is a Garden,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Callender, Kacen",Felix Ever After,Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Callender, Kacen",Felix Ever After,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Callender, Kacen",Hurricane Child,Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Callender, Kacen",King and the Dragonflies,Banned in Libraries and Classrooms,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Callender, Kacen",This Is Kind of an Epic Love Story,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Callender, Kacen",This Is Kind of an Epic Love Story,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Capetta, Amy Rose",Echo After Echo,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Capetta, Amy Rose",Echo After Echo,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Capetta, Amy Rose",Once & Future,Banned Pending Investigation,Cori McCarthy,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Capetta, Amy Rose",Sword in the Stars (Once & Future Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Capetta, Amy Rose",The Brilliant Death (The Brilliant Death Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Capetta, Amy Rose",The Storm of Life (The Brilliant Death Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Carle, Eric",Draw Me a Star,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Carpenter, Amy R.","Be Strong, Be Wise: The Young Adult’s Guide to Sexual Assault Awareness and Personal Safety",Banned in Libraries and Classrooms,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Cart, Michael",How Beautiful the Ordinary: Twelve Stories of Identity,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Cart, Michael",Love & Sex: Ten Stories of Truth,Banned Pending Investigation,"Bauer, Joan; Donoghue, Emma; Hawes, Louise; Nix, Garth; Sones, Sonya; Anderson, Laurie Halse; Lynch, Chris; Lowenthal, Michael; Stoehr, Shelly; Johnson, Angela",Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Carter, Caela","My Best Friend, Maybe",Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Cashore, Kristin",Graceling (Graceling Realm Series),Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cashore, Kristin",Graceling (Graceling Realm Series),Banned Pending Investigation,,Michigan,Gladwin Community Schools,2022-05-01,Administrator,44.182205,-84.506836
"Cashore, Kristin","Jane, Unlimited",Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Cashore, Kristin","Jane, Unlimited",Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Cassedy, Patrice",Teen Pregnancy,Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Cast, P. C.",Awakened (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Betrayed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Burned (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Chosen (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Destined (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Hidden (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Cast, P. C.",Hunted (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
